Fiscal Year,Library,County,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Program Attendance & Views Per Capita Served,Use of Public Internet Computers,Total Collection,Collection Per Capita Served,Total Operating Income,Operating Income Per Capita,Town Tax Appropriation for Library,Tax Appropriation Per Capita Served,Library Materials Expenditures,Wages & Salaries Expenditures,Operating Expenditures,Operating Expenditures Per Capita
2008,Griswold - Slater,New London,151,15595,40571,2.6,6500,0.42,2500,0.2,36682,2.4,94,2231,0.1,5564,30173,1.9,170788,10.95,95000,6.09,15264,84770,134081,8.6
2008,Groton,New London,93,42324,270000,6.8,48097,1.22,40456,1,343423,8.7,461,15427,0.4,59426,152212,3.6,1931754,45.64,1868562,44.15,189140,1422525,2167279,51.2
2008,Groton - Bill,New London,93,42324,20500,0.5,1548,0.04,,,19401,0.5,87,1945,0,6700,21685,0.5,194067,4.59,18166,0.43,14995,114904,191005,4.5
2008,Groton - Mystic,New London,93,,74000,1.9,8191,0.21,,,82888,2.1,437,5113,0.1,5553,52663,,474503,,200658,,38898,249093,468581,
2008,Guilford,New Haven,32,22373,92363,4.1,18011,0.8,73648,3.3,285584,12.8,798,17469,0.8,40362,129891,5.8,1187372,53.07,921636,41.19,83000,764596,1076403,48.1
2008,Haddam - Brainerd,Middlesex,59,7800,46598,6,4955,0.64,1311,0.2,46587,6,297,4623,0.6,,41910,5.4,338460,43.39,276963,35.51,38720,187306,334711,42.9
2008,Hamden,New Haven,117,57698,322028,5.6,43446,0.75,54600,0.9,422434,7.3,383,7949,0.1,30624,225614,3.9,1807640,31.33,1695207,29.38,260924,1302764,2136476,37
2008,Hampton - Fletcher,Windham,138,2118,3346,1.6,1117,0.54,65,0,4350,2.1,25,576,0.3,712,18832,8.9,43006,20.31,12000,5.67,5397,,30685,14.5
2008,Hartford,Hartford,169,124563,926303,7.4,81763,0.66,521175,4.2,555137,4.5,6880,129008,1,345648,492162,4,9029030,72.49,7878853,63.25,803265,5409628,9991757,80.2
2008,Hartland,Hartford,100,2077,476,0.2,1011,0.48,,,369,0.2,,,,75,2462,1.2,1670,0.8,5000,2.41,6997,,15809,7.6
2008,Harwinton,Litchfield,78,5564,25778,4.6,3880,0.69,1597,0.3,50919,9.1,224,3006,0.5,970,42114,7.6,172476,31,154986,27.86,29289,131087,242849,43.6
2008,Hebron - Douglas,Tolland,89,9232,12800,1.4,5605,0.61,,,98666,10.7,210,3491,0.4,11000,41627,4.5,375890,40.72,365286,39.57,29879,217142,377873,40.9
2008,Kent,Litchfield,26,2952,34686,11.7,1491,0.5,744,0.3,30334,10.2,399,5890,2,4025,29082,9.9,286794,97.15,77250,26.17,22532,125788,264841,89.7
2008,Killingly,Windham,150,17710,77865,4.4,7300,0.41,4275,0.2,106023,6,606,9732,0.6,8324,74601,4.2,569871,32.18,638953,36.08,53473,375719,679670,38.4
2008,Killingworth,Middlesex,50,6443,36649,5.7,3307,0.51,1292,0.2,69594,10.8,299,4092,0.6,11435,31185,4.8,292857,45.45,185138,28.73,45713,154827,296918,46.1
2008,Lebanon - JonTrumbull,New London,132,7354,52600,7.2,4338,0.59,2030,0.3,68970,9.4,191,3103,0.4,1169,49157,6.7,261222,35.52,191000,25.97,36243,115451,246206,33.5
2008,Ledyard,New London,122,15097,80014,5.3,10521,0.7,10034,0.7,171317,11.3,418,9797,0.6,11577,80894,5.4,595567,39.45,563280,37.31,78080,392882,670521,44.4
2008,Litchfield - OWL,Litchfield,62,8671,71065,8.1,6624,0.76,4833,0.6,102920,11.8,252,5883,0.7,57500,63103,7.3,490125,56.52,261300,30.13,66669,255696,556036,64.1
2008,Lyme,New London,11,2076,10220,4.9,1093,0.52,756,0.4,16689,8,46,316,0.2,,27313,13.2,166758,80.33,118739,57.2,17640,93741,169451,81.6
2008,Madison - E.C.Scranton,New Haven,23,18793,165987,8.8,13514,0.72,17732,0.9,313385,16.7,685,14669,0.8,53705,120774,6.4,1275690,67.88,1071970,57.04,150310,632054,1255455,66.8
2008,Manchester,Hartford,127,55857,394047,7.1,24048,0.43,47490,0.9,797056,14.3,961,31212,0.6,74289,235069,4.2,2827082,50.61,2748691,49.21,243639,1535369,2657038,47.6
2008,Mansfield,Tolland,154,24884,94906,3.8,6189,0.25,7489,0.3,236711,9.6,435,10067,0.4,12927,81543,3.3,656318,26.38,605500,24.33,119495,458660,734604,29.5
2008,Marlborough-Richmond,Hartford,61,6351,68178,10.8,2760,0.44,4346,0.7,134344,21.3,55,2433,0.4,5460,43725,6.9,353711,55.69,294771,46.41,48402,196592,368826,58.1
2008,Meriden,New Haven,160,59225,250000,4.2,36912,0.62,60460,1,191651,3.2,846,12903,0.2,71042,249509,4.2,1980036,33.43,1895684,32.01,181929,1401988,2590551,43.7
2008,Middlebury,New Haven,36,7252,57000,8,4798,0.67,9553,1.3,103113,14.4,557,11423,1.6,35000,63561,8.8,412973,56.95,403302,55.61,71800,251699,417339,57.5
2008,Middlefield - Levi Coe,Middlesex,83,4248,30250,7.1,3788,0.89,1450,0.3,48667,11.4,106,2088,0.5,2700,24480,5.8,306310,72.11,271407,63.89,28995,162132,320033,75.3
2008,Middletown - Russell,Middlesex,126,47778,280301,5.9,32520,0.68,85999,1.8,606495,12.8,434,12844,0.3,52560,180766,3.8,2880246,60.28,2715180,56.83,317550,2184194,2927078,61.3
2008,Milford,New Haven,53,55445,145073,2.6,30338,0.55,46436,0.8,258960,4.7,289,10267,0.2,18389,136189,2.5,1560022,28.14,1541320,27.8,139377,776505,1560022,28.1
2008,Monroe - Edith Wheeler,Fairfield,52,19402,115560,5.9,12115,0.62,10377,0.5,226523,11.6,319,6799,0.3,10573,90651,4.7,715937,36.9,687511,35.44,99812,440005,703444,36.3
2008,Montville - Raymond,New London,134,19744,12376,0.6,9505,0.48,590,0,32103,1.6,9,440,0,440,21699,1.1,77545,3.93,35000,1.77,9051,51785,100279,5.1
2008,Morris,Litchfield,42,2345,11100,4.7,1333,0.56,910,0.4,16150,6.8,184,1487,0.6,1040,14556,6.2,92981,39.65,80853,34.48,11070,66332,94140,40.1
2008,Naugatuck - Howard W.,New Haven,152,31931,142421,4.5,10909,0.34,16405,0.5,94287,3,281,9930,0.3,,64285,2,828616,25.95,595000,18.63,29129,471662,790626,24.8
2008,New Britain,Hartford,166,70664,306400,4.3,27617,0.39,96493,1.4,399119,5.6,1215,25370,0.4,37775,223056,3.2,2739318,38.77,2619873,37.08,241300,1562565,2860256,40.5
2008,New Canaan,Fairfield,2,19890,476000,23.8,18454,0.92,46660,2.3,478697,24,1114,30989,1.6,44956,184731,9.3,2316346,116.46,1573977,79.13,327451,1210806,2116249,106.4
2008,New Fairfield,Fairfield,39,14100,112280,7.9,11587,0.81,,,159301,11.2,246,4732,0.3,5962,59213,4.2,470346,33.36,448053,31.78,51204,378571,575362,40.8
2008,New Hartford-Bakerville,Litchfield,85,,25493,3.8,1334,0.2,325,0,25493,3.8,50,600,0.1,550,17813,,54891,,44300,,9000,26500,41820,
2008,New Hartford-Licia M.B.,Litchfield,85,6736,62500,9.2,5683,0.84,8680,1.3,74403,11,131,3197,0.5,4432,51365,7.6,311924,46.31,195324,29,45524,158767,318133,47.2
2008,New Haven,New Haven,164,123932,746170,6,46067,0.37,234678,1.9,324383,2.6,2917,48572,0.4,121012,504661,4.1,3974410,32.07,3701976,29.87,531450,2804265,4423371,35.7
2008,New London,New London,163,25923,156000,6,13193,0.51,30015,1.2,172049,6.6,183,3317,0.1,29568,82822,3.2,706000,27.23,587255,22.65,57158,285896,639307,24.7
2008,New Milford,Litchfield,56,28439,197436,6.9,16767,0.58,17752,0.6,274743,9.6,630,20538,0.7,20060,112526,4,1140474,40.1,1010342,35.53,192779,672279,1381183,48.6
2008,Newington - LucyWelles,Hartford,96,29619,257929,8.7,12768,0.43,64997,2.2,410115,13.9,650,28089,0.9,26273,154130,5.2,1799744,60.76,1750023,59.08,256490,1250639,2215030,74.8
2008,Newtown - Cyr.Booth,Fairfield,33,26790,179400,6.6,17595,0.65,61903,2.3,261435,9.7,821,18339,0.7,42343,115833,4.3,1135561,42.39,937953,35.01,34745,692987,1093728,40.8
2008,Norfolk,Litchfield,43,1652,25615,15.3,2640,1.57,2741,1.6,36343,21.7,234,8073,4.8,3764,38143,23.1,383910,232.39,1000,0.61,37207,152880,406527,246.1
2008,North Branford,New Haven,84,14406,39840,2.8,9368,0.65,3626,0.3,96197,6.6,207,3549,0.2,2857,66244,4.6,555781,38.58,551983,38.32,70650,340529,555781,38.6
2008,North Canaan - Douglas,Litchfield,129,3352,15000,4.4,1635,0.48,700,0.2,22291,6.6,118,540,0.2,1668,19037,5.7,110132,32.86,56100,16.74,9504,59917,95462,28.5
2008,North Haven,New Haven,49,24002,84396,3.5,18472,0.77,10244,0.4,186692,7.8,266,3980,0.2,24600,112423,4.7,831298,34.63,800312,33.34,80701,585924,869484,36.2
2008,North Stonington-Wheeler,New London,75,5212,80210,15.4,2932,0.56,5234,1,47340,9.1,94,1032,0.2,6396,35812,6.9,119520,22.93,20000,3.84,11132,60000,100693,19.3
2008,Norwalk,Fairfield,72,83456,425883,5,26798,0.32,49653,0.6,531358,6.3,326,7599,0.1,98586,257400,3.1,3258506,39.04,3408993,40.85,495005,2633489,3591994,43
2008,Norwalk - Rowayton,Fairfield,72,,20000,0.2,2827,0.03,,,21128,0.3,,,,5000,26203,,209270,,134000,,42394,150443,230473,
2008,Norwich - Otis,New London,161,36432,179000,4.9,42145,1.16,9953,0.3,148102,4.1,494,7553,0.2,80844,67634,1.9,1199615,32.93,1082871,29.72,111194,703393,1199615,32.9
2008,Old Lyme - Phoebe,New London,15,7384,36850,5,5663,0.76,4369,0.6,71509,9.6,222,3814,0.5,10580,47815,6.5,557273,75.47,225000,30.47,35624,290623,557273,75.5
2008,Old Saybrook - Acton,Middlesex,28,10539,218047,20.6,11601,1.1,8432,0.8,289008,27.3,595,8173,0.8,23246,75404,7.2,642141,60.93,637578,60.5,109245,369244,659560,62.6
2008,Orange - Case,New Haven,27,13813,90061,6.5,7099,0.51,7013,0.5,135707,9.8,244,6450,0.5,13458,111478,8.1,598991,43.36,577095,41.78,70949,355152,688100,49.8
2008,Oxford,New Haven,71,12527,16000,1.3,4288,0.35,5600,0.5,38294,3.1,124,2331,0.2,4800,31015,2.5,192052,15.33,185336,14.79,28395,125756,185335,14.8
2008,Plainfield - Aldrich,Windham,162,15450,6734,0.4,3288,0.21,2000,0.1,9043,0.6,24,456,0,2400,15581,1,53653,3.47,47500,3.07,5972,23290,51214,3.3
2008,Plainville,Hartford,125,17193,115370,6.7,6461,0.37,6999,0.4,169420,9.8,305,8824,0.5,24631,99644,5.8,655560,38.13,599013,34.84,96526,377003,697896,40.6
2008,Plymouth - Terryville,Litchfield,146,12011,73000,6,4000,0.33,3000,0.2,61207,5,413,4734,0.4,8500,64066,5.3,318602,26.53,410614,34.19,62000,229512,404086,33.6
2008,Pomfret,Windham,105,4165,5000,1.2,1654,0.4,500,0.1,13840,3.3,152,1518,0.4,1000,18721,4.5,91773,22.03,59952,14.39,7994,42776,91773,22
2008,Portland,Middlesex,101,9537,89606,9.3,4404,0.46,5337,0.6,146939,15.3,278,5074,0.5,12853,84589,8.9,628463,65.9,593698,62.25,75178,397625,766497,80.4
2008,Preston,New London,116,4902,19068,3.9,2459,0.5,576,0.1,31495,6.4,29,1763,0.4,2127,29723,6.1,155086,31.64,148958,30.39,13382,89406,162061,33.1
2008,Prospect,New Haven,97,9273,31180,3.4,5460,0.59,7590,0.8,80552,8.7,55,1310,0.1,4280,43076,4.6,251159,27.08,244864,26.41,31100,128246,219981,23.7
2008,Putnam,Windham,159,9292,59895,6.4,5733,0.61,6000,0.6,64502,6.9,202,4332,0.5,16270,37509,4,422409,45.46,427056,45.96,29862,206326,412871,44.4
2008,Redding - Mark Twain,Fairfield,10,8840,68206,7.6,5323,0.6,3747,0.4,111084,12.5,328,5639,0.6,8012,47192,5.3,605867,68.54,332800,37.65,74417,318563,587844,66.5
2008,Ridgefield,Fairfield,8,23872,398934,16.6,11540,0.48,17194,0.7,407540,16.9,866,19151,0.8,31105,132225,5.5,2101429,88.03,1610000,67.44,183480,1142082,2101429,88
2008,Rocky Hill-Cora Belden,Hartford,86,18808,175733,9.3,7957,0.42,20112,1.1,282900,15,208,5816,0.3,10595,67167,3.6,906654,48.21,877878,46.68,124500,695026,887210,47.2
2008,Roxbury - Minor,Litchfield,7,2319,18264,7.8,1753,0.75,4119,1.8,22124,9.4,106,2535,1.1,2451,38672,16.7,145557,62.77,92500,39.89,16630,96207,231565,99.9
2008,Salem,New London,90,6546,33800,5.2,5511,0.84,1300,0.2,56342,8.6,80,1184,0.2,2600,26076,4,22379,3.42,18955,2.9,11625,61545,108141,16.5
2008,Salisbury - Scoville,Litchfield,14,3987,74025,18.3,3110,0.77,6200,1.5,78589,19.4,197,4423,1.1,3766,38551,9.7,437774,109.8,160000,40.13,43080,205236,410074,102.9
2008,Scotland,Windham,153,1725,7608,4.4,892,0.52,148,0.1,9518,5.5,47,410,0.2,1400,12941,7.5,45704,26.49,40573,23.52,2570,23663,43564,25.3
2008,Seymour,New Haven,118,16240,130895,8.1,11284,0.69,7880,0.5,84968,5.2,103,3544,0.2,8601,74028,4.6,546239,33.64,459139,28.27,64888,256480,542713,33.4
2008,Sharon - Hotchkiss,Litchfield,18,3022,18000,5.9,1110,0.36,1000,0.3,19803,6.5,122,1087,0.4,1400,13605,4.5,180083,59.59,40000,13.24,16522,91635,168829,55.9
2008,Shelton - Plumb,Fairfield,48,40011,174760,4.3,14970,0.37,9961,0.2,264514,6.6,517,9877,0.2,24349,163007,4.1,1177615,29.43,1011084,25.27,176232,738481,1059142,26.5
2008,Sherman,Fairfield,25,4110,31000,7.5,2517,0.61,2000,0.5,43013,10.4,208,3474,0.8,,28561,6.9,200630,48.82,111760,27.19,27987,101385,208386,50.7
2008,Simsbury,Hartford,45,23659,225000,9.5,12086,0.51,47054,2,332226,14,457,19203,0.8,75950,139138,5.9,1110931,46.96,1205241,50.94,178713,808402,1492432,63.1
2008,Somers,Tolland,130,10850,60500,5.6,4407,0.4,,,81760,7.5,198,2907,0.3,20031,61551,5.7,403599,37.2,383451,35.34,54766,236785,426289,39.3
2008,South Windsor,Hartford,73,25940,202043,7.8,10168,0.39,12564,0.5,258692,9.9,399,8524,0.3,48525,134217,5.2,1328988,51.23,1292932,49.84,165480,660277,1314336,50.7
2008,Southbury,New Haven,46,19678,184170,9.3,10565,0.54,7185,0.4,353198,17.9,494,11590,0.6,31049,102607,5.2,669343,34.01,594257,30.2,102851,465258,926466,47.1
2008,Southington,Hartford,98,42142,241600,5.7,26426,0.63,187043,4.4,302708,7.2,372,14695,0.3,22478,116060,2.8,1245443,29.55,1212507,28.77,111125,867089,1567643,37.2
2008,Sprague,New London,141,2981,7576,2.5,1635,0.55,894,0.3,9526,3.2,109,621,0.2,2330,14121,4.7,54637,18.33,51000,17.11,5000,51487,72835,24.4
2008,Stafford,Tolland,144,11786,47401,4,5632,0.48,1848,0.2,81627,6.9,389,4181,0.4,10494,51333,4.4,485692,41.21,378740,32.13,49634,273187,448135,38
2008,Stamford - Ferguson,Fairfield,24,118475,989139,8.3,110832,0.93,188608,1.6,981351,8.2,1792,51423,0.4,511413,525169,4.4,9206271,77.71,8172934,68.98,771880,5163827,8532976,72
2008,Sterling,Windham,147,3725,6736,1.8,2103,0.58,3516,1,38984,10.7,40,290,0.1,1200,22822,6.1,77531,20.81,74030,19.87,6143,44091,79971,21.5
2008,Stonington,New London,41,18343,34335,1.9,6540,0.36,724,0,57865,3.2,463,10794,0.6,4395,38369,2.1,294497,16.06,92549,5.05,32433,168360,315613,17.2
2008,Stratford,Fairfield,82,49015,267758,5.4,37841,0.76,50519,1,417256,8.4,3570,59974,1.2,37720,168615,3.4,2890331,58.97,2616222,53.38,241723,1634940,2820775,57.5
2008,Suffield - Kent,Hartford,112,15104,135802,9,9673,0.64,10591,0.7,144418,9.5,450,9045,0.6,,88045,5.8,475270,31.47,407977,27.01,73127,288092,507405,33.6
2008,Thomaston,Litchfield,124,7818,70000,8.8,3702,0.47,6776,0.9,89177,11.3,391,7497,0.9,,55004,7,358381,45.84,339182,43.38,46154,204677,443413,56.7
2008,Thompson,Windham,142,9231,57131,6.1,5818,0.62,16501,1.8,94448,10.1,385,6665,0.7,4206,56200,6.1,390690,42.32,382362,41.42,65236,255499,374097,40.5
2008,Tolland,Tolland,92,14631,83698,5.7,9229,0.63,24282,1.7,138265,9.4,251,3292,0.2,,69490,4.7,390382,26.68,381437,26.07,54995,286484,509155,34.8
2008,Torrington,Litchfield,157,35451,67964,1.9,13576,0.38,87559,2.4,102589,2.9,229,3204,0.1,10189,54956,1.6,612373,17.27,27400,0.77,58774,315890,575770,16.2
2008,Trumbull,Fairfield,31,34752,250801,7.2,29216,0.83,31595,0.9,441671,12.6,696,14233,0.4,42001,171652,4.9,1777592,51.15,1549092,44.58,328847,1088921,1679179,48.3
2008,Union,Tolland,91,751,7100,9.4,489,0.65,25,0,5781,7.7,13,92,0.1,10,10960,14.6,34040,45.33,31062,41.36,7902,14736,30750,40.9
2008,Vernon - Rockville,Tolland,140,29620,122690,4.1,14180,0.48,4191,0.1,151129,5.1,188,6676,0.2,9901,72223,2.4,815536,27.53,228000,7.7,84848,357182,743354,25.1
2008,Voluntown,New London,121,2612,10361,4,1650,0.63,490,0.2,21611,8.3,101,1299,0.5,3187,18631,7.1,83769,32.07,73350,28.08,7564,54781,82889,31.7
2008,Wallingford,New Haven,88,44679,300000,6.7,31000,0.69,65000,1.5,525869,11.7,167,9012,0.2,48372,224993,5,2634919,58.97,2476664,55.43,297015,1361766,2378241,53.2
2008,Warren,Litchfield,17,1384,3134,2.3,1000,0.72,50,0,7003,5.1,89,821,0.6,75,14982,10.8,40586,29.32,23000,16.62,7311,25271,37067,26.8
2008,Washington - Gunn,Litchfield,13,3671,47305,12.8,2503,0.68,,,63507,17.1,183,4285,1.2,1602,50858,13.9,525851,143.24,114845,31.28,26689,199650,459244,125.1
2008,Waterbury - Silas Bron.,New Haven,165,107174,273954,2.5,49026,0.46,16921,0.2,190617,1.8,165,4786,0,120000,258752,2.4,1815354,16.94,1945137,18.15,300422,1415687,2018346,18.8
2008,Waterford,New London,40,18775,187231,10,17000,0.9,20277,1.1,224564,11.9,347,5745,0.3,32308,84818,4.5,1304428,69.48,1226089,65.3,122650,869727,1343691,71.6
2008,Watertown,Litchfield,115,22128,59647,2.7,12820,0.57,52050,2.3,110863,5,108,3515,0.2,39250,85068,3.8,738501,33.37,725000,32.76,82795,393373,737424,33.3
2008,West Hartford,Hartford,57,60486,281316,4.6,26624,0.44,75388,1.2,728846,12,1106,32006,0.5,210987,240264,4,3692023,61.04,3677823,60.8,412077,2202221,3692127,61
2008,West Haven,New Haven,155,52676,61909,1.2,39788,0.75,27251,0.5,194371,3.7,251,4685,0.1,32899,161943,3.1,2282243,43.33,1446663,27.46,176905,817498,1346089,25.6
2008,Westbrook,Middlesex,35,6618,30000,4.5,6097,0.92,8568,1.3,36856,5.6,228,2244,0.3,6264,44160,6.7,307118,46.41,298487,45.1,39924,187820,307118,46.4
2008,Weston,Fairfield,5,10200,38500,3.7,6154,0.6,,,65624,6.4,435,6130,0.6,1763,58413,5.7,378725,37.13,372352,36.51,53333,245492,402255,39.4
2008,Westport,Fairfield,3,26508,531396,19.9,21666,0.81,197576,7.4,775357,29.1,1052,46370,1.7,51264,226896,8.6,4802081,181.16,3870859,146.03,437397,2673944,4705437,177.5
2008,Wethersfield,Hartford,103,25781,71490,2.7,9092,0.35,30378,1.2,263100,10.1,373,11568,0.4,7046,118751,4.6,1593559,61.81,1562329,60.6,174786,862752,1592704,61.8
2008,Willington,Tolland,131,6139,30400,4.9,2907,0.47,17680,2.8,34498,5.6,24,2774,0.4,1351,26974,4.4,147198,23.98,101643,16.56,25038,75842,161135,26.2
2008,Wilton,Fairfield,6,17715,261087,14.6,17691,0.99,30570,1.7,329873,18.4,804,34516,1.9,22822,146120,8.2,2875934,162.34,2010902,113.51,261044,1321591,2923070,165
2008,Winchester - Beardsley,Litchfield,143,15942,,,8438,0.52,4864,0.3,55664,3.5,221,1285,0.1,4928,56866,3.6,309586,19.42,196361,12.32,36590,147507,277878,17.4
2008,Windham - Guilford Sm,Windham,167,,7260,0.3,657,0.03,629,0,6964,0.3,90,1181,0,356,9883,,56225,,25569,,4600,22100,56225,
2008,Windham - Willimantic,Windham,167,23678,25000,1,11669,0.49,4200,0.2,60412,2.5,109,2092,0.1,14280,63868,2.7,708420,29.92,679464,28.7,114604,404193,709515,30
2008,Windham Free,Windham,167,,17500,0.7,1084,0.05,370,0,8662,0.4,80,1640,0.1,233,9470,,48424,,28505,,7037,21666,49531,
2008,Windsor,Hartford,99,28754,211928,7.4,19441,0.68,25645,0.9,466628,16.3,818,14682,0.5,61974,136905,4.8,1521750,52.92,1488030,51.75,155545,808611,1479245,51.4
2008,Windsor Locks,Hartford,106,12491,45000,3.6,4463,0.36,8000,0.6,87426,7,282,2306,0.2,18008,52821,4.2,451458,36.14,398305,31.89,75425,227290,455976,36.5
2008,Wolcott,New Haven,128,16407,78200,4.8,8690,0.53,,,78806,4.8,200,2275,0.1,5200,61781,3.8,485142,29.57,501093,30.54,48561,280907,446007,27.2
2008,Woodbridge,New Haven,20,9201,,,10279,1.11,10437,1.1,162257,17.6,539,6612,0.7,8164,86377,9.4,749958,81.51,690534,75.05,74510,483000,690634,75.1
2008,Woodbury,Litchfield,47,9654,,,7198,0.74,,,122917,12.6,599,11656,1.2,12055,91031,9.4,615193,63.72,609249,63.11,104600,401979,609249,63.1
2008,Woodstock - Bracken,Windham,108,8188,4000,0.5,3700,0.45,2800,0.3,20200,2.5,10,50,0,1200,27445,3.4,22412,2.74,9500,1.16,15665,3290,22357,2.7
2008,Woodstock - May,Windham,108,,2183,0.3,347,0.04,28,0,6068,0.7,2,19,0,30,11621,,12096,,10060,,3485,4990,15934,
2008,"Woodstock, North",Windham,108,,4289,0.5,507,0.06,96,0,10676,1.3,,,,7,721,,15274,,14060,,3009,6560,13051,
2009,Andover,Tolland,94,3181,9500,3,2639,0.83,760,0.2,20945,6.6,86,1374,0.4,400,19754,6.2,103228,32.45,98723,31.04,12257,60853,92417,29.1
2009,Ansonia,New Haven,159,18550,81000,4.4,10321,0.56,17500,0.9,104234,5.6,476,7293,0.4,7800,95259,5.1,624800,33.68,595230,32.09,27643,403076,565346,30.5
2009,Ashford-Babcock,Windham,133,4453,14779,3.3,3737,0.84,1123,0.3,28836,6.5,270,3042,0.7,3375,30257,6.8,170823,38.36,156850,35.22,10062,106837,159421,35.8
2009,Avon,Hartford,21,17333,205597,11.9,9132,0.53,41573,2.4,294443,17,444,8954,0.5,18491,91762,5.3,1462699,84.39,1332866,76.9,152000,759739,1363633,78.7
2009,Beacon Falls,New Haven,110,5770,18876,3.3,2924,0.51,3432,0.6,28600,5,196,3031,0.5,2270,15226,2.6,118062,20.46,108709,18.84,15866,82090,158191,27.4
2009,Berlin Free,Hartford,80,,3207,0.2,768,0.04,25,0,7667,0.4,313,2713,0.1,,21845,1.1,50875,,7500,,10500,21400,50925,
2009,Berlin-Peck,Hartford,80,20254,93568,4.6,7775,0.38,15936,0.8,204936,10.1,478,8820,0.4,10000,99997,4.9,974718,48.12,992786,49.02,118961,574561,1111018,54.9
2009,East Berlin,Hartford,80,,900,0,167,0.01,,,2135,0.1,,,,,8657,0.4,8278,,7000,,,3811,6837,
2009,Bethany - Clark,New Haven,56,5566,,,3466,0.62,975,0.2,31559,5.7,120,964,0.2,1800,44356,8,108982,19.58,91806,16.49,13749,58364,110705,19.9
2009,Bethel,Fairfield,68,18514,134308,7.3,12059,0.65,20297,1.1,174724,9.4,239,4920,0.3,40622,115824,6.3,760986,41.1,744430,40.21,99766,553222,1058339,57.2
2009,Bethlehem,Litchfield,60,3549,14099,4,2355,0.66,1987,0.6,28429,8,84,772,0.2,9905,26266,7.4,110576,31.16,95848,27.01,3422,74089,88421,24.9
2009,Bloomfield - Prosser,Hartford,104,20693,50000,2.4,7371,0.36,18942,0.9,245261,11.9,625,14466,0.7,28000,126272,6.1,1382310,66.8,1350024,65.24,131855,1036902,1987764,96.1
2009,Bolton - Bentley,Tolland,98,5116,48000,9.4,2098,0.41,2928,0.6,54970,10.7,48,883,0.2,2470,48266,9.4,223438,43.67,215894,42.2,32000,154744,215894,42.2
2009,Branford - Blackstone,New Haven,58,28984,250000,8.6,16701,0.58,79452,2.7,203299,7,510,12775,0.4,59500,87357,3,1270122,43.82,1011200,34.89,88368,674681,1219582,42.1
2009,Branford - Willoughby,New Haven,58,,10000,0.3,2318,0.08,1200,0,40937,1.4,306,10700,0.4,7500,24549,0.8,231630,,202327,,20001,147702,230603,
2009,Bridgeport,Fairfield,164,136695,352813,2.6,52846,0.39,85734,0.6,346538,2.5,568,10529,0.1,138324,560159,4.1,3553002,25.99,3368757,24.64,497453,2528927,4433202,32.4
2009,Bridgewater - Burnham,Litchfield,15,1884,19940,10.6,1175,0.62,1020,0.5,28890,15.3,412,5607,3,3784,32782,17.4,90901,48.25,70009,37.16,15049,71579,123503,65.6
2009,Bristol,Hartford,139,60911,345000,5.7,19799,0.33,29073,0.5,351358,5.8,1342,40346,0.7,53641,194648,3.2,2156748,35.41,2116560,34.75,220619,1361323,2416248,39.7
2009,Brookfield,Fairfield,30,16413,98927,6,9068,0.55,3692,0.2,158963,9.7,488,12911,0.8,,60779,3.7,546337,33.29,520886,31.74,70139,387379,586270,35.7
2009,Brooklyn,Windham,160,7886,8000,1,4314,0.55,800,0.1,11991,1.5,15,286,0,1200,23493,3,119788,15.19,108602,13.77,16711,67557,121885,15.5
2009,Burlington,Hartford,63,9143,47602,5.2,3596,0.39,2390,0.3,79569,8.7,197,3453,0.4,1782,59145,6.5,294191,32.18,288444,31.55,29605,186495,351217,38.4
2009,Canaan - David Hunt,Litchfield,32,1094,18538,16.9,823,0.75,842,0.8,10861,9.9,136,3236,3,3451,28911,26.4,128840,117.77,35000,31.99,9639,66352,128050,117
2009,Canterbury,Windham,148,5100,21814,4.3,2774,0.54,780,0.2,42339,8.3,195,1721,0.3,2008,21992,4.3,105391,20.66,92388,18.12,14456,71338,151060,29.6
2009,Canton,Hartford,61,10086,105000,10.4,4504,0.45,21062,2.1,184152,18.3,230,7297,0.7,19891,70527,7,540361,53.58,511602,50.72,71541,384689,676603,67.1
2009,Chaplin,Windham,149,2528,7600,3,1213,0.48,450,0.2,8164,3.2,21,430,0.2,1560,16173,6.4,53747,21.26,56536,22.36,6550,29116,56536,22.4
2009,Cheshire,New Haven,66,28833,199386,6.9,12080,0.42,29939,1,485364,16.8,572,11251,0.4,21338,125642,4.4,1490034,51.68,1415380,49.09,184322,1149314,1489306,51.7
2009,Chester,Middlesex,46,3834,18101,4.7,2905,0.76,2291,0.6,38508,10,64,1112,0.3,1155,19346,5,109610,28.59,104041,27.14,17156,82838,144979,37.8
2009,Clinton - Henry C. Hull,Middlesex,72,13578,178530,13.1,11322,0.83,37800,2.8,281302,20.7,531,12916,1,31769,87836,6.5,821646,60.51,675572,49.75,104881,478159,871342,64.2
2009,Colchester - Cragin,New London,116,15495,135600,8.8,10310,0.67,4005,0.3,157203,10.1,457,11113,0.7,19119,63509,4.1,593617,38.31,552605,35.66,45000,363930,553296,35.7
2009,Columbia - S.B. Little,Tolland,82,5331,19240,3.6,3288,0.62,10400,2,66418,12.5,175,2314,0.4,2923,49077,9.2,327073,61.35,291708,54.72,48839,170511,317856,59.6
